,characters,digits,lowercase,uppercase,user,user_group
0,,116.0,24.0,26.0,f2328_92,hsf_4
1,,130.0,22.0,24.0,f2322_80,hsf_4
2,,103.0,25.0,26.0,f2472_83,hsf_4
3,,104.0,20.0,26.0,f2480_61,hsf_4
4,,111.0,23.0,21.0,f2134_58,hsf_4
5,,130.0,24.0,24.0,f2305_60,hsf_4
6,,110.0,27.0,24.0,f2506_77,hsf_4
7,,101.0,25.0,22.0,f2247_97,hsf_4
8,,109.0,22.0,25.0,f2270_87,hsf_4
9,,109.0,24.0,21.0,f2436_53,hsf_4
10,,116.0,26.0,26.0,f2346_88,hsf_4
11,,109.0,24.0,23.0,f2168_66,hsf_4
12,,63.0,22.0,17.0,f2105_51,hsf_4
13,,121.0,26.0,23.0,f2482_62,hsf_4
14,,126.0,25.0,25.0,f2514_50,hsf_4
15,,110.0,24.0,24.0,f2316_50,hsf_4
16,,125.0,25.0,26.0,f2355_85,hsf_4
17,,97.0,21.0,17.0,f2248_68,hsf_4
18,,117.0,26.0,25.0,f2157_61,hsf_4
19,,126.0,25.0,25.0,f2273_84,hsf_4
20,,130.0,23.0,23.0,f2166_63,hsf_4
21,,127.0,25.0,25.0,f2569_58,hsf_4
22,,114.0,25.0,25.0,f2384_51,hsf_4
23,,126.0,26.0,25.0,f2562_90,hsf_4
24,,120.0,25.0,26.0,f2545_52,hsf_4
25,,116.0,24.0,24.0,f2357_70,hsf_4
26,,91.0,24.0,22.0,f2331_93,hsf_4
27,,126.0,25.0,26.0,f2223_83,hsf_4
28,,130.0,26.0,26.0,f2414_89,hsf_4
29,,126.0,24.0,24.0,f2576_66,hsf_4
30,,118.0,26.0,21.0,f2146_84,hsf_4
31,,127.0,24.0,24.0,f2339_76,hsf_4
32,,126.0,20.0,20.0,f2332_97,hsf_4
33,,125.0,24.0,27.0,f2370_67,hsf_4
34,,129.0,26.0,25.0,f2104_50,hsf_4
35,,126.0,26.0,25.0,f2119_56,hsf_4
36,,116.0,23.0,25.0,f2246_93,hsf_4
37,,122.0,25.0,26.0,f2320_75,hsf_4
38,,124.0,24.0,26.0,f2311_61,hsf_4
39,,104.0,26.0,25.0,f2124_66,hsf_4
40,,111.0,27.0,26.0,f2196_58,hsf_4
41,,116.0,25.0,25.0,f2109_65,hsf_4
42,,89.0,17.0,19.0,f2549_82,hsf_4
